Model,MSO2024
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.004,
Sample Interval,3.2e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH4,CH4 Peak Detect
-1.95101e-02,1.76,1.84
-1.95098e-02,1.8,1.76
-1.95094e-02,1.8,1.84
-1.95091e-02,1.76,1.76
-1.95088e-02,1.8,1.84
-1.95085e-02,1.76,1.76
-1.95082e-02,1.8,1.84
-1.95078e-02,1.76,1.72
-1.95075e-02,1.76,1.84
-1.95072e-02,1.8,1.76
-1.95069e-02,1.8,1.84
-1.95066e-02,1.8,1.76
-1.95062e-02,1.8,1.84
-1.95059e-02,1.8,1.76
-1.95056e-02,1.8,1.84
-1.95053e-02,1.76,1.76
-1.95050e-02,1.8,1.84
-1.95046e-02,1.8,1.76
-1.95043e-02,1.8,1.84
-1.95040e-02,1.8,1.72
-1.95037e-02,1.76,1.84
-1.95034e-02,1.8,1.76
-1.95030e-02,1.76,1.84
-1.95027e-02,1.76,1.76
-1.95024e-02,1.8,1.8
-1.95021e-02,1.76,1.76
-1.95018e-02,1.76,1.8
-1.95014e-02,1.76,1.76
-1.95011e-02,1.8,1.84
-1.95008e-02,1.8,1.76
-1.95005e-02,1.76,1.84
-1.95002e-02,1.8,1.76
-1.94998e-02,1.8,1.84
-1.94995e-02,1.8,1.76
-1.94992e-02,1.76,1.8
-1.94989e-02,1.8,1.76
-1.94986e-02,1.76,1.8
-1.94982e-02,1.76,1.76
-1.94979e-02,1.8,1.84
-1.94976e-02,1.76,1.76
-1.94973e-02,1.76,1.84
-1.94970e-02,1.8,1.76
-1.94966e-02,1.8,1.84
-1.94963e-02,1.8,1.76
-1.94960e-02,1.76,1.84
-1.94957e-02,1.76,1.76
-1.94954e-02,1.8,1.84
-1.94950e-02,1.76,1.72
-1.94947e-02,1.8,1.84
-1.94944e-02,1.76,1.76
-1.94941e-02,1.8,1.84
-1.94938e-02,1.8,1.76
-1.94934e-02,1.8,1.84
-1.94931e-02,1.8,1.76
-1.94928e-02,1.8,1.84
-1.94925e-02,1.8,1.76
-1.94922e-02,1.76,1.84
-1.94918e-02,1.8,1.72
-1.94915e-02,1.8,1.84
-1.94912e-02,1.76,1.76
-1.94909e-02,1.76,1.84
-1.94906e-02,1.8,1.76
-1.94902e-02,1.76,1.84
-1.94899e-02,1.76,1.76
-1.94896e-02,1.76,1.84
-1.94893e-02,1.76,1.76
-1.94890e-02,1.8,1.8
-1.94886e-02,1.8,1.76
-1.94883e-02,1.8,1.84
-1.94880e-02,1.8,1.76
-1.94877e-02,1.76,1.84
-1.94874e-02,1.8,1.76
-1.94870e-02,1.76,1.84
-1.94867e-02,1.8,1.76
-1.94864e-02,1.76,1.84
-1.94861e-02,1.8,1.76
-1.94858e-02,1.76,1.84
-1.94854e-02,1.76,1.76
-1.94851e-02,1.8,1.84
-1.94848e-02,1.8,1.76
-1.94845e-02,1.8,1.84
-1.94842e-02,1.8,1.76
-1.94838e-02,1.8,1.84
-1.94835e-02,1.8,1.76
-1.94832e-02,1.8,1.84
-1.94829e-02,1.8,1.76
-1.94826e-02,1.76,1.84
-1.94822e-02,1.76,1.76
-1.94819e-02,1.76,1.84
-1.94816e-02,1.76,1.76
-1.94813e-02,1.8,1.84
-1.94810e-02,1.8,1.72
-1.94806e-02,1.8,1.84
-1.94803e-02,1.8,1.76
-1.94800e-02,1.8,1.84
-1.94797e-02,1.8,1.76
-1.94794e-02,1.8,1.84
-1.94790e-02,1.76,1.76
-1.94787e-02,1.8,1.84
-1.94784e-02,1.76,1.76
-1.94781e-02,1.8,1.84
-1.94778e-02,1.8,1.76
-1.94774e-02,1.76,1.84
-1.94771e-02,1.8,1.76
-1.94768e-02,1.76,1.84
-1.94765e-02,1.8,1.76
-1.94762e-02,1.8,1.84
-1.94758e-02,1.76,1.76
-1.94755e-02,1.76,1.8
-1.94752e-02,1.8,1.76
-1.94749e-02,1.8,1.84
-1.94746e-02,1.8,1.76
-1.94742e-02,1.8,1.84
-1.94739e-02,1.8,1.76
-1.94736e-02,1.8,1.84
-1.94733e-02,1.8,1.76
-1.94730e-02,1.8,1.84
-1.94726e-02,1.76,1.76
-1.94723e-02,1.76,1.84
-1.94720e-02,1.8,1.76
-1.94717e-02,1.76,1.84
-1.94714e-02,1.8,1.76
-1.94710e-02,1.76,1.84
-1.94707e-02,1.76,1.76
-1.94704e-02,1.76,1.84
-1.94701e-02,1.8,1.76
-1.94698e-02,1.8,1.84
-1.94694e-02,1.8,1.72
-1.94691e-02,1.8,1.84
-1.94688e-02,1.76,1.76
-1.94685e-02,1.8,1.84
-1.94682e-02,1.8,1.76
-1.94678e-02,1.8,1.84
-1.94675e-02,1.8,1.76
-1.94672e-02,1.8,1.84
-1.94669e-02,1.8,1.76
-1.94666e-02,1.76,1.84
-1.94662e-02,1.8,1.76
-1.94659e-02,1.8,1.84
-1.94656e-02,1.8,1.76
